# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 27
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sun Mar 30 15:11:37 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, '260469756', running on localhost
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, 'random', running on 192.168.1.104
START Player-0 random
START Player-1 260469756
START Player-2 random
START Player-3 random
0 (5,7) (4,8)
1 (1,14) (0,14)
2 (2,10) (2,9)
3 (15,7) (14,6)
0 (1,5) (0,6)
1 (0,14) (1,14)
2 (8,12) (7,11)
3 (13,11) (12,11)
0 (3,0) (3,1)
1 (1,14) (0,14)
2 (7,11) (7,12)
3 (14,6) (13,7)
0 (3,1) (4,0)
1 (0,14) (1,14)
2 (3,14) (4,13)
3 (12,11) (11,10)
0 (4,8) (3,7)
1 (1,14) (0,14)
2 (4,11) (5,12)
3 (14,8) (15,8)
0 (2,4) (3,3)
1 (0,14) (1,14)
2 (3,11) (3,10)
3 (10,15) (11,15)
0 (4,7) (4,8)
1 (1,14) (0,14)
2 (7,12) (8,13)
3 (13,7) (12,8)
0 (0,1) (0,0)
1 (0,14) (1,14)
2 (2,11) (4,9)
2 null null
3 (11,11) (12,10)
0 (3,2) (2,3)
1 (1,14) (0,14)
2 (5,12) (4,11)
3 (12,15) (13,14)
0 (4,8) (3,9)
1 (0,14) (1,14)
2 (1,15) (0,14)
3 (15,8) (15,7)
0 (1,3) (2,4)
1 (1,14) (1,15)
2 (0,14) (0,13)
3 (11,15) (10,15)
0 (2,4) (3,4)
1 (1,15) (0,14)
2 (3,10) (1,8)
2 (1,8) (3,10)
2 null null
3 (12,8) (13,8)
0 (6,1) (6,0)
1 (0,14) (1,15)
2 (8,14) (7,13)
3 (13,8) (14,7)
0 (4,0) (5,1)
1 (1,15) (0,14)
2 (4,11) (5,12)
3 (12,13) (13,12)
0 (3,4) (3,2)
0 (3,2) (3,4)
0 (3,4) (3,2)
0 (3,2) (3,4)
0 null null
1 (0,14) (1,15)
2 (3,10) (5,8)
2 (5,8) (3,10)
2 null null
3 (13,10) (15,10)
3 (15,10) (13,10)
3 null null
0 (3,4) (2,4)
1 (1,15) (0,14)
2 (4,9) (2,11)
2 null null
3 (15,7) (14,6)
0 (3,7) (2,7)
GAMEOVER 
WINNER Player-1
# Game ended: Sun Mar 30 15:11:38 EDT 2014
