# Server version 0.08 running on 192.168.1.104:8123
# Game ID: 77
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 23:43:13 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.104
# Player 2: Player-1, 'random', running on 192.168.1.104
# Player 3: Player-2, 'random', running on 192.168.1.104
# Player 4: Player-3, '260469756', running on localhost
START Player-0 random
START Player-1 random
START Player-2 random
START Player-3 260469756
2 (1,13) (0,13)
3 (9,3) (8,2)
0 (3,3) (2,4)
1 (9,6) (10,5)
2 (0,13) (2,15)
2 null null
3 (8,2) (7,1)
0 (3,5) (4,6)
1 (11,1) (11,0)
2 (4,15) (3,14)
3 (7,1) (6,0)
0 (2,4) (1,5)
1 (12,1) (13,2)
2 (8,12) (9,11)
3 (5,0) (3,0)
3 null null
0 (3,4) (2,4)
1 (11,4) (9,6)
1 (9,6) (11,4)
1 (11,4) (9,2)
1 (9,2) (11,4)
1 (11,4) (9,2)
1 null null
2 (9,11) (8,11)
3 (0,9) (0,7)
3 null null
0 (2,3) (0,5)
0 (0,5) (2,5)
0 (2,5) (2,3)
0 (2,3) (2,5)
0 (2,5) (0,5)
0 null null
1 (10,3) (10,4)
2 (0,10) (0,11)
3 (0,8) (0,6)
3 (0,6) (0,4)
3 null null
0 (5,3) (5,2)
1 (13,3) (12,4)
2 (2,11) (1,11)
3 (1,10) (0,9)
0 (4,5) (5,6)
1 (13,2) (13,1)
2 (1,14) (2,14)
3 (0,4) (0,3)
0 (4,6) (5,7)
1 (11,0) (12,0)
2 (8,9) (9,8)
3 (0,7) (0,6)
0 (5,6) (4,7)
1 (13,1) (13,2)
2 (2,14) (4,12)
2 (4,12) (2,14)
2 (2,14) (4,14)
2 (4,14) (2,12)
2 null null
3 (0,6) (0,4)
3 null null
0 (4,7) (3,7)
1 (13,2) (14,1)
2 (8,11) (7,12)
3 (9,0) (8,0)
0 (2,4) (2,5)
1 (9,4) (9,3)
2 (9,8) (10,7)
3 (6,0) (5,0)
0 (8,8) (7,8)
1 (10,1) (11,1)
2 (7,12) (6,11)
3 (3,1) (2,1)
0 (1,4) (1,6)
0 (1,6) (1,4)
0 null null
1 (10,5) (9,4)
2 (3,13) (3,15)
2 (3,15) (3,13)
2 (3,13) (3,15)
2 null null
3 (0,9) (0,8)
0 (5,2) (5,3)
1 (15,1) (13,1)
1 (13,1) (15,1)
1 (15,1) (13,3)
1 null null
2 (0,15) (0,14)
3 (8,0) (7,0)
0 (4,3) (4,2)
1 (14,0) (15,0)
2 (1,11) (1,10)
3 (7,0) (6,0)
0 (0,5) (2,3)
0 null null
1 (12,0) (13,1)
2 (0,14) (1,13)
3 (0,8) (0,7)
0 (1,4) (3,6)
0 null null
1 (12,5) (13,4)
2 (2,10) (3,11)
3 (0,7) (0,6)
0 (2,5) (0,5)
0 (0,5) (0,7)
0 (0,7) (0,5)
0 (0,5) (0,7)
0 (0,7) (0,5)
0 (0,5) (2,5)
0 (2,5) (4,7)
0 null null
1 (9,4) (10,3)
2 (3,14) (4,13)
3 (0,6) (2,4)
3 (2,4) (2,2)
3 null null
0 (7,8) (7,7)
1 (11,1) (10,0)
2 (4,13) (3,14)
3 (2,2) (3,1)
0 (2,3) (2,2)
1 (15,0) (15,1)
2 (2,12) (2,13)
3 (6,0) (5,1)
0 (4,2) (6,4)
0 (6,4) (4,2)
0 null null
1 (13,3) (11,5)
1 (11,5) (13,7)
1 (13,7) (11,5)
1 null null
2 (6,11) (6,12)
3 (5,1) (6,0)
0 (3,7) (4,8)
1 (14,1) (13,0)
2 (9,12) (9,11)
3 (6,0) (5,1)
0 (5,7) (3,7)
0 (3,7) (5,9)
0 (5,9) (3,7)
0 null null
1 (12,4) (12,3)
2 (1,13) (3,13)
2 (3,13) (1,13)
2 null null
3 (5,1) (6,0)
0 (1,5) (2,5)
1 (11,5) (11,4)
2 (10,7) (11,8)
3 (6,0) (5,1)
0 (3,7) (2,6)
1 (9,2) (9,4)
1 (9,4) (11,2)
1 (11,2) (9,4)
1 (9,4) (9,2)
1 (9,2) (9,4)
1 (9,4) (11,2)
1 (11,2) (9,4)
1 (9,4) (9,2)
1 null null
2 (3,15) (3,13)
2 (3,13) (3,15)
2 null null
3 (5,1) (6,0)
0 (3,6) (1,6)
0 (1,6) (3,6)
0 null null
1 (13,4) (14,5)
2 (1,15) (0,14)
3 (6,0) (5,1)
0 (4,8) (3,8)
1 (12,3) (13,3)
