# Server version 0.08 running on wpa070026.wireless.mcgill.ca:8123
# Game ID: 31
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Tue Apr 01 11:33:44 EDT 2014
# Player 1: Player-0, '260469756', running on localhost
# Player 2: Player-1, 'XXXXXXXXX', running on localhost
# Player 3: Player-2, 'XXXXXXXXX', running on localhost
# Player 4: Player-3, '260469756', running on localhost
START Player-0 260469756
START Player-1 XXXXXXXXX
START Player-2 XXXXXXXXX
START Player-3 260469756
3 (6,6) (5,5)
0 (8,9) (9,10)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 (13,0) (11,0)
1 null null
2 (0,12) (0,14)
2 (0,14) (0,12)
2 null null
3 (5,5) (4,4)
0 (9,10) (10,11)
1 (15,8) (14,8)
2 (8,13) (9,13)
3 (4,4) (3,3)
0 (10,11) (11,12)
1 (14,8) (14,9)
2 (3,13) (2,14)
3 (3,3) (3,2)
0 (11,12) (12,13)
1 (15,1) (14,2)
2 (2,14) (2,13)
3 (3,2) (1,0)
3 null null
0 (12,13) (14,15)
0 null null
1 (13,5) (14,4)
2 (3,12) (2,12)
3 (9,8) (8,7)
0 (6,5) (7,6)
1 (12,3) (12,4)
2 (6,15) (5,15)
3 (8,7) (6,5)
3 null null
0 (7,6) (8,7)
1 (12,7) (13,8)
2 (4,10) (5,11)
3 (6,5) (5,4)
0 (8,7) (9,8)
1 (11,2) (12,1)
2 (6,10) (6,11)
3 (5,4) (4,3)
0 (9,8) (10,9)
1 (14,4) (14,5)
2 (0,12) (1,12)
3 (4,3) (3,2)
0 (10,9) (11,10)
1 (12,1) (11,2)
2 (2,12) (3,12)
3 (3,2) (2,3)
0 (11,10) (12,11)
1 (11,1) (12,1)
2 (5,11) (6,12)
3 (2,3) (0,1)
3 null null
0 (12,11) (13,12)
1 (14,5) (15,4)
2 (0,8) (0,9)
3 (14,10) (13,9)
0 (13,12) (15,14)
0 null null
1 (11,0) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 (13,0) (15,2)
1 (15,2) (13,0)
1 null null
2 (3,12) (3,13)
3 (13,9) (12,8)
0 (5,1) (6,2)
1 (14,1) (13,2)
2 (2,11) (3,11)
3 (12,8) (11,7)
0 (6,2) (7,3)
1 (14,2) (14,3)
2 (6,11) (7,10)
3 (11,7) (10,6)
0 (7,3) (8,4)
1 (13,2) (13,3)
2 (3,14) (3,15)
3 (10,6) (9,5)
0 (8,4) (10,6)
0 null null
1 (12,4) (11,5)
2 (0,9) (1,10)
3 (9,5) (8,4)
0 (10,6) (11,7)
1 (13,8) (12,8)
2 (3,13) (3,12)
3 (8,4) (7,3)
0 (11,7) (13,9)
0 null null
1 (9,0) (9,1)
GAMEOVER 
WINNER Player-0
# Game ended: Tue Apr 01 11:33:46 EDT 2014
