# Server version 0.08 running on 192.168.1.103:8123
# Game ID: 110
# Board class: halma.CCBoard
# Timeout: 300000
# Date: Sat Apr 05 23:04:34 EDT 2014
# Player 1: Player-0, 'random', running on 192.168.1.103
# Player 2: Player-1, '111111111', running on localhost
# Player 3: Player-2, '111111111', running on localhost
# Player 4: Player-3, 'random', running on 192.168.1.103
START Player-0 random
START Player-1 111111111
START Player-2 111111111
START Player-3 random
0 (4,0) (3,0)
1 (5,12) (4,13)
2 (8,3) (9,2)
3 (15,14) (14,15)
0 (1,0) (3,2)
0 (3,2) (1,2)
0 (1,2) (3,2)
0 null null
1 (7,8) (6,9)
2 (9,2) (10,1)
3 (14,15) (13,15)
0 (2,2) (1,2)
1 (6,9) (5,10)
2 (10,1) (11,0)
3 (10,12) (10,10)
3 (10,10) (10,12)
3 null null
0 (3,2) (4,3)
1 (5,10) (4,11)
2 (13,1) (14,0)
3 (11,8) (10,7)
0 (2,0) (4,0)
0 (4,0) (2,2)
0 (2,2) (0,2)
0 (0,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (0,4)
0 (0,4) (0,2)
0 (0,2) (0,0)
0 (0,0) (0,2)
0 (0,2) (2,2)
0 (2,2) (0,2)
0 null null
1 (8,7) (7,8)
2 (8,4) (9,3)
3 (14,14) (15,14)
0 (3,0) (4,1)
1 (4,11) (3,12)
2 (12,4) (13,3)
3 (10,7) (10,8)
0 (4,3) (4,2)
1 (3,12) (2,13)
2 (11,5) (12,4)
3 (10,14) (10,13)
0 (5,2) (3,2)
0 (3,2) (5,0)
0 (5,0) (5,2)
0 (5,2) (3,0)
0 (3,0) (5,2)
0 (5,2) (3,2)
0 (3,2) (1,0)
0 (1,0) (3,2)
0 (3,2) (3,0)
0 null null
1 (7,8) (6,9)
2 (2,11) (3,10)
3 (15,12) (14,12)
0 (1,1) (1,3)
0 null null
1 (6,9) (5,10)
2 (3,10) (4,9)
3 (10,12) (9,11)
0 (1,2) (2,3)
1 (5,10) (4,11)
2 (3,14) (5,12)
2 (5,12) (3,10)
2 (3,10) (5,8)
2 null null
3 (14,11) (14,10)
0 (5,1) (6,0)
1 (4,13) (3,14)
2 (1,14) (3,12)
2 (3,12) (5,10)
2 (5,10) (3,8)
2 null null
3 (10,13) (10,12)
0 (4,2) (4,0)
0 (4,0) (4,2)
0 (4,2) (4,0)
0 (4,0) (2,2)
0 (2,2) (0,4)
0 null null
1 (2,13) (1,14)
2 (4,9) (6,7)
2 null null
3 (10,11) (11,11)
0 (4,1) (4,0)
1 (4,11) (3,12)
2 (5,8) (7,6)
2 null null
3 (14,13) (15,12)
0 (3,1) (4,2)
1 (3,12) (2,13)
2 (3,8) (4,7)
3 (15,15) (15,13)
3 (15,13) (15,11)
3 (15,11) (15,13)
3 (15,13) (15,15)
3 null null
0 (3,4) (3,3)
1 (7,9) (6,10)
2 (7,6) (8,5)
3 (13,9) (12,8)
0 (3,0) (2,0)
1 (6,10) (5,11)
2 (8,5) (9,4)
3 (10,12) (8,10)
3 null null
0 (3,3) (2,2)
1 (5,11) (4,12)
2 (9,4) (10,3)
3 (12,8) (11,7)
0 (2,3) (1,2)
1 (4,12) (3,13)
2 (10,3) (11,2)
3 (10,8) (11,9)
0 (1,2) (3,0)
0 (3,0) (1,0)
0 null null
1 (2,14) (1,15)
2 (6,7) (7,6)
3 (11,7) (11,8)
0 (4,2) (3,1)
1 (3,13) (2,14)
2 (7,6) (8,5)
3 (11,11) (10,10)
0 (2,2) (3,2)
1 (12,1) (10,3)
1 (10,3) (8,3)
1 null null
2 (11,2) (12,1)
3 (14,12) (13,13)
0 (0,4) (1,5)
1 (8,3) (7,4)
2 (8,5) (9,4)
3 (13,15) (13,14)
0 (2,0) (4,2)
0 (4,2) (2,2)
0 (2,2) (2,0)
0 null null
1 (7,4) (6,5)
2 (9,4) (10,3)
3 (11,9) (12,8)
0 (4,0) (5,1)
1 (6,5) (5,6)
2 (4,7) (6,5)
2 (6,5) (4,3)
2 (4,3) (6,5)
2 null null
3 (10,10) (8,12)
3 null null
0 (1,0) (0,0)
1 (5,6) (4,7)
2 (10,3) (11,2)
3 (8,12) (8,13)
0 (5,4) (4,4)
1 (4,7) (3,8)
2 (6,5) (7,4)
3 (14,10) (13,9)
0 (3,1) (3,0)
1 (3,8) (2,9)
2 (7,4) (8,3)
3 (13,9) (12,9)
0 (0,3) (1,4)
1 (2,9) (1,10)
2 (8,3) (9,2)
3 (15,12) (14,11)
0 (4,4) (3,5)
1 (1,10) (0,11)
2 (9,2) (10,1)
3 (13,12) (14,13)
0 (2,0) (4,0)
0 (4,0) (6,2)
0 (6,2) (4,0)
0 null null
1 (2,13) (1,13)
2 (12,5) (13,4)
3 (12,9) (13,10)
0 (3,5) (2,4)
1 (1,13) (0,14)
2 (11,0) (12,0)
3 (12,8) (10,8)
3 null null
0 (6,0) (4,2)
0 null null
1 (0,11) (1,12)
2 (10,1) (11,0)
3 (14,11) (12,9)
3 (12,9) (14,11)
3 null null
0 (0,1) (0,3)
0 (0,3) (0,1)
0 (0,1) (0,3)
0 (0,3) (2,3)
0 (2,3) (4,1)
0 (4,1) (6,1)
0 null null
1 (1,12) (0,13)
2 (13,4) (14,3)
3 (13,10) (14,9)
0 (3,2) (3,1)
1 (9,15) (8,15)
2 (14,3) (15,2)
3 (11,15) (12,14)
0 (0,2) (0,3)
1 (6,15) (5,15)
2 (9,3) (10,2)
3 (9,11) (9,10)
0 (5,1) (4,1)
1 (12,15) (11,15)
2 (10,2) (11,1)
3 (8,10) (8,11)
0 (2,4) (2,5)
1 (11,15) (10,15)
2 (12,1) (13,0)
3 (14,13) (14,12)
0 (2,1) (3,2)
1 (10,15) (9,15)
2 (11,0) (12,1)
3 (11,8) (9,8)
3 null null
0 (1,4) (3,6)
0 (3,6) (1,4)
0 (1,4) (1,2)
0 null null
1 (8,15) (7,15)
2 (11,1) (11,0)
3 (14,12) (14,10)
3 (14,10) (14,12)
3 null null
0 (4,1) (5,1)
1 (7,15) (6,15)
2 (14,0) (15,0)
3 (9,8) (8,7)
0 (5,1) (3,3)
0 null null
1 (9,15) (8,15)
2 (14,4) (15,4)
3 (14,11) (15,12)
0 (2,5) (3,6)
1 (8,15) (7,15)
2 (15,4) (14,3)
3 (13,13) (14,13)
0 (6,1) (5,1)
1 (0,8) (0,9)
2 (13,0) (14,0)
3 (8,7) (9,7)
0 (3,1) (5,3)
0 (5,3) (3,1)
0 null null
1 (0,9) (0,10)
2 (12,1) (13,0)
3 (15,14) (15,13)
0 (1,2) (2,2)
1 (0,10) (0,11)
2 (11,0) (12,1)
3 (9,7) (8,8)
0 (5,1) (6,1)
1 (0,11) (0,12)
2 (11,2) (12,2)
3 (8,13) (8,12)
0 (3,6) (2,7)
GAMEOVER 
WINNER Player-1
# Game ended: Sat Apr 05 23:04:36 EDT 2014
